14,6,4
Layer0
-1,-1,-1,-1,-1,-1,GroundTile,-1,-1,-1,-1,GroundTile,-1,-1
-1,-1,-1,-1,-1,-1,GroundTile,-1,-1,-1,-1,GroundTile,-1,-1
-1,-1,-1,-1,-1,-1,GroundTile,-1,-1,-1,-1,GroundTile,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,GroundTile,-1,-1
Layer1
-1,-1,-1,-1,-1,GlassTile,GlassTile,GlassTile,-1,-1,GlassTile,-1,GlassTile,-1
-1,-1,-1,-1,-1,GlassTile,GlassTile,GlassTile,-1,-1,GlassTile,-1,GlassTile,-1
-1,-1,-1,-1,-1,GlassTile,GlassTile,GlassTile,-1,-1,GlassTile,-1,GlassTile,-1
-1,-1,-1,-1,-1,-1,GlassTile,-1,-1,-1,GlassTile,-1,GlassTile,-1
Layer2
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,GroundTile,GroundTile,GroundTile,-1,-1,-1,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,GroundTile,GroundTile,GroundTile,-1,-1,-1,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1,GroundTile
Layer3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
