10,6,5
Layer0
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile
GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,GroundTile,GroundTile,GroundTile
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer1
-1,-1,-1,-1,GroundTile,GroundTile,-1,-1,-1,-1
-1,-1,-1,GroundTile,GroundTile,GroundTile,-1,-1,-1,-1
-1,-1,-1,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1,-1
-1,-1,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1
-1,-1,-1,-1,GroundTile,-1,-1,-1,-1,-1
Layer2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,GroundTile,-1,-1,-1,-1
-1,-1,-1,-1,-1,GroundTile,GroundTile,GroundTile,-1,-1
-1,-1,-1,-1,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1
-1,-1,-1,-1,GroundTile,-1,-1,-1,-1,-1
Layer3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,GroundTile,GroundTile,GroundTile,GroundTile,-1,-1
Layer4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Layer5
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
