Layer-2
-1,-1,-1,-1,-1,-1,00,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,00,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,00,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,00,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,00,-1,-1,-1,-1,
Layer-1
-1,-1,-1,-1,-1,01,-1,01,-1,-1,-1,
-1,-1,-1,-1,-1,01,-1,01,-1,-1,-1,
-1,-1,-1,-1,-1,01,-1,01,-1,-1,-1,
-1,-1,-1,-1,-1,01,-1,01,-1,01,-1,
-1,-1,-1,-1,-1,01,-1,01,-1,-1,-1,
Layer0
00,00,00,00,00,00,-1,00,00,00,00,
00,00,00,00,00,00,-1,00,00,00,00,
00,00,00,00,00,00,-1,00,00,00,00,
00,00,00,00,00,00,-1,00,00,-1,00,
00,00,00,00,00,00,-1,00,00,00,00,
